time_sec,delta,servo_angle,pot_angle,raw_value
7.3645,180.0,180.0,0.0,4095
7.4013,0.0,0.0,0.0,4095
7.4323,0.0,0.0,0.0,4095
7.4573,0.0,0.0,0.0,4095
7.4954,0.0,0.0,0.0,4095
7.5273,0.0,0.0,0.0,4095
7.5592,0.0,0.0,0.0,4095
7.5876,0.0,0.0,0.0,4095
7.6241,0.0,0.0,0.0,4095
7.6553,0.0,0.0,0.0,4095
7.675,0.0,0.0,0.0,4095
7.7051,0.0,0.0,0.0,4095
7.7496,0.0,0.0,0.0,4095
7.7825,0.0,0.0,0.0,4095
7.7991,0.0,0.0,0.0,4095
7.8446,0.0,0.0,0.0,4095
7.8622,0.0,0.0,0.0,4095
7.8934,0.0,0.0,0.0,4095
7.924,0.0,0.0,0.0,4095
7.9561,0.0,0.0,0.0,4095
7.9876,0.0,0.0,0.0,4095
8.018,0.0,0.0,0.0,4095
8.05,0.0,0.0,0.0,4095
8.0811,0.0,0.0,0.0,4095
8.1117,0.0,0.0,0.0,4095
8.1426,0.0,0.0,0.0,4095
8.1756,0.0,0.0,0.0,4095
8.2084,0.0,0.0,0.0,4095
8.2388,0.0,0.0,0.0,4095
8.2685,0.0,0.0,0.0,4095
8.3004,0.0,0.0,0.0,4095
8.3319,0.0,0.0,0.0,4095
8.3631,0.0,0.0,0.0,4095
8.3943,0.0,0.0,0.0,4095
8.4248,0.0,0.0,0.0,4095
8.4571,0.0,0.0,0.0,4095
8.4881,0.0,0.0,0.0,4095
8.5196,0.0,0.0,0.0,4095
8.5516,0.0,0.0,0.0,4095
8.5841,0.0,0.0,0.0,4095
8.6147,0.0,0.0,0.0,4095
8.6469,0.0,0.0,0.0,4095
8.6796,0.0,0.0,0.0,4095
8.7107,0.0,0.0,0.0,4095
8.7439,0.0,0.0,0.0,4095
8.7747,0.0,0.0,0.0,4095
8.8063,0.0,0.0,0.0,4095
8.837,0.0,0.0,0.0,4095
8.8697,0.0,0.0,0.0,4095
8.9006,0.0,0.0,0.0,4095
8.9317,0.0,0.0,0.0,4095
8.964,0.0,0.0,0.0,4095
8.9947,0.0,0.0,0.0,4095
9.0271,0.0,0.0,0.0,4095
9.0585,0.0,0.0,0.0,4095
9.0903,0.0,0.0,0.0,4095
9.1215,0.0,0.0,0.0,4095
9.1518,0.0,0.0,0.0,4095
9.1832,0.0,0.0,0.0,4095
9.214,0.0,0.0,0.0,4095
9.2463,0.0,0.0,0.0,4095
9.2783,0.0,0.0,0.0,4095
9.3078,0.0,0.0,0.0,4095
9.34,0.0,0.0,0.0,4095
9.3701,0.0,0.0,0.0,4095
9.4018,0.0,0.0,0.0,4095
9.4314,0.0,0.0,0.0,4095
9.4626,0.0,0.0,0.0,4095
9.4958,0.0,0.0,0.0,4095
9.5263,0.0,0.0,0.0,4095
9.5579,0.0,0.0,0.0,4095
9.5887,0.0,0.0,0.0,4095
9.6195,0.0,0.0,0.0,4095
9.6515,2.0,2.0,0.0,4095
9.6839,5.0,5.0,0.0,4095
9.7156,8.0,8.0,0.0,4095
9.7467,10.0,10.0,0.0,4095
9.7784,13.0,13.0,0.0,4095
9.8105,15.0,15.0,0.0,4095
9.8416,18.0,18.0,0.0,4095
9.8736,21.0,21.0,0.0,4095
9.9049,23.0,23.0,0.0,4095
9.9362,26.0,26.0,0.0,4095
9.9685,28.0,28.0,0.0,4095
10.0008,31.0,31.0,0.0,4095
10.0319,34.0,34.0,0.0,4095
10.0637,36.0,36.0,0.0,4095
10.0797,39.0,39.0,0.0,4095
10.1107,41.0,41.0,0.0,4095
10.1431,44.0,44.0,0.0,4095
10.1745,46.0,46.0,0.0,4095
10.2059,49.0,49.0,0.0,4095
10.2375,51.0,51.0,0.0,4095
10.2697,54.0,54.0,0.0,4095
10.3011,57.0,57.0,0.0,4095
10.3327,59.0,59.0,0.0,4095
10.3638,62.0,62.0,0.0,4095
10.3953,64.0,64.0,0.0,4095
10.4257,65.84,67.0,1.2,4068
10.4603,64.12,69.0,4.9,3995
10.4894,62.04,72.0,10.0,3920
10.5203,59.28,75.0,15.7,3845
10.552,56.34,77.0,20.7,3797
10.5837,53.95,80.0,26.1,3729
10.6141,50.11,82.0,31.9,3656
10.647,47.1,85.0,37.9,3584
10.6781,43.15,88.0,44.9,3492
10.7097,39.09,90.0,50.9,3432
10.7403,36.31,93.0,56.7,3368
10.7725,32.86,96.0,63.1,3285
10.8038,29.36,98.0,68.6,3232
10.8352,25.91,101.0,75.1,3146
10.8677,21.85,103.0,81.1,3080
10.899,19.24,106.0,86.8,3020
10.9321,16.29,108.0,91.7,2970
10.9629,14.84,111.0,96.2,2924
10.9944,13.04,114.0,101.0,2864
11.058,9.8,116.0,106.2,2798
11.1507,7.26,119.0,111.7,2730
11.2185,2.88,121.0,118.1,2646
11.3019,-1.6,124.0,125.6,2546
11.3825,-5.44,127.0,132.4,2474
11.4614,-8.96,129.0,138.0,2425
11.5518,-11.09,132.0,143.1,2370
11.6234,-12.55,134.0,146.6,2349
11.8092,-14.85,137.0,151.8,2266
11.8379,-19.23,139.0,158.2,2179
11.8702,-22.86,139.0,161.9,2169
11.9363,-23.48,141.0,164.5,2150
12.0302,-25.06,144.0,169.1,2074
12.0976,-27.29,146.0,173.3,2029
12.1794,-29.88,149.0,178.9,1948
12.2788,-28.0,152.0,180.0,1855
12.3416,-26.0,154.0,180.0,1810
12.4328,-23.0,157.0,180.0,1765
12.5033,-21.0,159.0,180.0,1711
12.5911,-18.0,162.0,180.0,1658
12.6652,-16.0,164.0,180.0,1611
12.7761,-13.0,167.0,180.0,1535
12.8386,-11.0,169.0,180.0,1500
12.9052,-9.0,171.0,180.0,1489
12.9916,-6.0,174.0,180.0,1517
13.067,-4.0,176.0,180.0,1491
13.1504,-1.0,179.0,180.0,1468
13.2409,0.0,180.0,180.0,1461
13.303,0.0,180.0,180.0,1456
13.3746,0.0,180.0,180.0,1453
13.4597,0.0,180.0,180.0,1463
13.5238,0.0,180.0,180.0,1455
13.5985,0.0,180.0,180.0,1460
13.681,0.0,180.0,180.0,1457
13.7479,0.0,180.0,180.0,1463
13.8374,0.0,180.0,180.0,1452
13.8995,0.0,180.0,180.0,1458
13.9705,0.0,180.0,180.0,1458
14.0531,0.0,180.0,180.0,1466
14.1188,0.0,180.0,180.0,1454
14.1926,0.0,180.0,180.0,1460
14.2726,0.0,180.0,180.0,1469
14.3408,0.0,180.0,180.0,1465
14.4302,0.0,180.0,180.0,1461
14.4949,0.0,180.0,180.0,1457
14.5647,0.0,180.0,180.0,1451
14.6517,0.0,180.0,180.0,1458
14.7159,0.0,180.0,180.0,1463
14.7883,0.0,180.0,180.0,1463
14.8627,0.0,180.0,180.0,1455
14.9366,0.0,180.0,180.0,1465
15.0289,0.0,180.0,180.0,1457
15.0845,0.0,180.0,180.0,1466
15.1588,0.0,180.0,180.0,1454
15.2456,0.0,180.0,180.0,1463
15.3103,0.0,180.0,180.0,1455
15.3818,0.0,180.0,180.0,1458
15.4661,0.0,180.0,180.0,1466
15.5307,0.0,180.0,180.0,1460
15.6236,0.0,180.0,180.0,1463
15.687,0.0,180.0,180.0,1460
15.7792,0.0,180.0,180.0,1463
15.8464,0.0,180.0,180.0,1454
15.9093,0.0,180.0,180.0,1464
15.999,0.0,180.0,180.0,1471
16.0648,0.0,180.0,180.0,1455
16.1237,0.0,180.0,180.0,1463
16.2204,0.0,180.0,180.0,1458
16.286,0.0,180.0,180.0,1465
16.3632,0.0,180.0,180.0,1462
16.4254,0.0,180.0,180.0,1463
16.4935,0.0,180.0,180.0,1462
16.584,0.0,180.0,180.0,1461
16.6428,0.0,180.0,180.0,1457
16.7174,0.0,180.0,180.0,1459
16.8035,0.0,180.0,180.0,1466
16.8669,0.0,180.0,180.0,1463
16.9586,0.0,180.0,180.0,1465
17.0198,0.0,180.0,180.0,1461
17.0926,0.0,180.0,180.0,1455
17.177,0.0,180.0,180.0,1457
17.2417,0.0,180.0,180.0,1462
17.3323,0.0,180.0,180.0,1455
17.395,0.0,180.0,180.0,1461
